id,title,topic,module,body,managerial_phrasing,common_mistake,updated
data-scales,The four types of data scale,data scale,describing-one-variable,"- Nominal data are categories with no ranking. You can count frequencies and find the most common category, but can't calculate averages or measure distances between categories.
- Ordinal data have ranked categories but unequal gaps. You can identify the median and compare relative positions, but the differences between values are not universally defined and comparable.
- Interval data have equal spacing but no true ""absolute"" zero - temperature scales or survey scores using standardized scales. The difference between any two values are measurable and comparable.
- Ratio data have equal spacing and a true ""absolute"" zero point. This zero indicates None of what's measured by the variable.",,Students swap the pairs — saying nominal and ordinal are quantitative while interval and ratio are categorical. All four are scales; nominal and ordinal are the categorical pair.,8/12/26
central-tendency-choice,Choosing the best measure of central tendency,central tendency,describing-one-variable,"The ""best"" measure of central tendency depends on your business context and data characteristics.
- Use the median when dealing with skewed data like salaries, customer spending, or deal sizes where outliers would distort the picture. It shows what most of your business actually experiences.
- Use the mean (average) when you need to understand total impact or when data is normally distributed. It's essential for financial planning, resource allocation, and forecasting since it accounts for every data point.
- Use the mode when identifying the most common category or value, such as the most popular product feature, frequent customer complaint, or typical order size.",,,8/12/26
describe-quantitative-variable,Describing a quantitative variable numerically,numerical description,describing-one-variable,"We typically focus on three different perspectives, the center, the spread and the outliers.",,,8/12/26
histogram,Using a histogram to visualise one variable,graphical description,describing-one-variable,"We use histogram to visualize one quantitative variable. Specifically, histogram can be compared to normal curve based on empirical rule to identify possible issues in data. If the histogram is skewed, we interpret the skewness by emphasizing the tail with ""more than expected ..."".","Compare to the normal curve, then name the tail with ""more than expected ..."".",,8/12/26
mean-interpretation,Interpreting the mean of one variable,central tendency,describing-one-variable,"The mean can be interpreted as the ""typical"" value in a given context (context involves what is the variable and unit of measure).",,,8/12/26
median-interpretation,Interpreting the median of a variable,central tendency,describing-one-variable,"The median represents the middle value when your data is arranged from lowest to highest - it's the point where 50% of observations fall below and 50% fall above.

The median reveals the ""typical"" experience of your customers, employees, or business units. Unlike the average, it isn't skewed by extreme outliers, making it particularly valuable for real-world business conditions where data might be heavily skewed.",,,8/12/26
pareto-chart,Interpreting a Pareto bar chart,graphical description,describing-one-variable,"A Pareto chart reveals which factors drive the majority of your business problems or outcomes, helping you prioritize where to focus limited resources for maximum impact. Typically, a small number of categories (around 20%) account for the large majority (around 80%) of the total effect.

Note: given the nominal variable, the 80/20 insight may only partially apply or not at all apply.",,"The 80/20 split is treated as a rule. With few categories, or a 60/40 split, it may only partly apply or not at all.",8/12/26
skewness,Interpreting skewness,graphical description,describing-one-variable,"Technically: Skewness measures the asymmetry of data distribution - whether values cluster more toward one end of the range, creating a ""tail"" on the opposite side. Understanding skewness helps choose appropriate benchmarks and realistic targets, since heavily skewed data makes the mean misleading for typical performance expectations.

Business Insights: When interpreting, we focus on two perspectives,
- where most data are centered on
- there are ""more than expected"" (not most) of observations in the skewed side of data.","Say where most of the data sits, then ""more than expected"" values in the skewed tail.",Skewness is asked about for two categorical variables. It only describes a quantitative distribution's shape.,8/12/26
standard-deviation,Interpreting standard deviation,spread,describing-one-variable,"Technically: standard means Average, and deviation means the difference between actual data and the typical value (the mean).

Insights: based on empirical rule, about 2/3 or 68% of the observations are within one stdev around the mean. This indicates the most typical range of values.",Frame as the typical range: about 2/3 of observations sit within one stdev of the mean.,,8/12/26
z-value,Using a z-value to judge how extreme a data point is,evaluate extreme,describing-one-variable,"Z-value measures how many standard deviations a data point is away from the mean. It standardizes different variables onto the same scale for comparison.

Insights: Z-values help identify outliers and benchmark performance across different metrics.
- |z| > 3 means the data is very unlikely or uncommon
- 2 < |z| < 3 means the data is unlikely or uncommon
- 1 < |z| < 2 means the data is likely or common
- |z| < 1 means the data is very common.","Report as very common (|z|<1), common (1-2), uncommon (2-3), very uncommon (>3).",,8/12/26
